latitude,longitude,depth_km,zone
30.54,132.43000000000018,10.4,1
30.63,132.32000000000016,12.92,1
30.63,132.43000000000018,11.27,1
30.72,132.21000000000015,15.43,1
30.72,132.32000000000016,13.79,1
30.72,132.43000000000018,12.14,1
30.72,132.5400000000002,10.5,1
30.81,132.10000000000014,17.95,1
30.81,132.21000000000015,16.3,1
30.81,132.32000000000016,14.66,1
30.81,132.43000000000018,13.02,1
30.81,132.5400000000002,11.37,1
30.9,131.8800000000001,22.16,1
30.9,131.99000000000012,20.47,1
30.9,132.10000000000014,18.82,1
30.9,132.21000000000015,17.18,1
30.9,132.32000000000016,15.53,1
30.9,132.43000000000018,13.89,1
30.9,132.5400000000002,12.24,1
30.9,132.6500000000002,10.6,1
30.99,131.7700000000001,24.65,1
30.99,131.8800000000001,22.98,1
30.99,131.99000000000012,21.34,1
30.99,132.10000000000014,19.69,1
30.99,132.21000000000015,18.05,1
30.99,132.32000000000016,16.4,1
30.99,132.43000000000018,14.76,1
30.99,132.5400000000002,13.11,1
30.99,132.6500000000002,11.35,1
30.99,132.76000000000022,10.0,1
31.08,131.66000000000008,27.15,1
31.08,131.7700000000001,25.5,1
31.08,131.8800000000001,23.85,1
31.08,131.99000000000012,22.21,1
31.08,132.10000000000014,20.54,1
31.08,132.21000000000015,18.72,1
31.08,132.32000000000016,16.91,1
31.08,132.43000000000018,15.09,1
31.08,132.5400000000002,13.28,1
31.08,132.6500000000002,11.62,1
31.08,132.76000000000022,10.18,1
31.08,132.87000000000023,10.0,1
31.169999999999998,131.55000000000007,29.66,1
31.169999999999998,131.66000000000008,27.9,1
31.169999999999998,131.7700000000001,26.09,1
31.169999999999998,131.8800000000001,24.27,1
31.169999999999998,131.99000000000012,22.46,1
31.169999999999998,132.10000000000014,20.64,1
31.169999999999998,132.21000000000015,18.83,1
31.169999999999998,132.32000000000016,17.01,1
31.169999999999998,132.43000000000018,15.2,1
31.169999999999998,132.5400000000002,13.49,1
31.169999999999998,132.6500000000002,12.05,1
31.169999999999998,132.76000000000022,10.61,1
31.169999999999998,132.87000000000023,10.0,1
31.169999999999998,132.98000000000025,10.0,1
31.259999999999998,131.55000000000007,29.79,1
31.259999999999998,131.66000000000008,28.01,1
31.259999999999998,131.7700000000001,26.2,1
31.259999999999998,131.8800000000001,24.38,1
31.259999999999998,131.99000000000012,22.57,1
31.259999999999998,132.10000000000014,20.75,1
31.259999999999998,132.21000000000015,18.94,1
31.259999999999998,132.32000000000016,17.12,1
31.259999999999998,132.43000000000018,15.37,1
31.259999999999998,132.5400000000002,13.93,1
31.259999999999998,132.6500000000002,12.49,1
31.259999999999998,132.76000000000022,11.05,1
31.259999999999998,132.87000000000023,10.0,1
31.259999999999998,132.98000000000025,10.0,1
31.259999999999998,133.09000000000026,10.0,1
31.349999999999998,131.66000000000008,28.12,1
31.349999999999998,131.7700000000001,26.3,1
31.349999999999998,131.8800000000001,24.49,1
31.349999999999998,131.99000000000012,22.68,1
31.349999999999998,132.10000000000014,20.86,1
31.349999999999998,132.21000000000015,19.05,1
31.349999999999998,132.32000000000016,17.24,1
31.349999999999998,132.43000000000018,15.8,1
31.349999999999998,132.5400000000002,14.36,1
31.349999999999998,132.6500000000002,12.92,1
31.349999999999998,132.76000000000022,11.49,1
31.349999999999998,132.87000000000023,10.05,1
31.349999999999998,132.98000000000025,10.0,1
31.349999999999998,133.09000000000026,10.0,1
31.349999999999998,133.20000000000027,14.01,1
31.439999999999998,131.66000000000008,28.23,1
31.439999999999998,131.7700000000001,26.41,1
31.439999999999998,131.8800000000001,24.6,1
31.439999999999998,131.99000000000012,22.78,1
31.439999999999998,132.10000000000014,20.97,1
31.439999999999998,132.21000000000015,19.15,1
31.439999999999998,132.32000000000016,17.68,1
31.439999999999998,132.43000000000018,16.24,1
31.439999999999998,132.5400000000002,14.8,1
31.439999999999998,132.6500000000002,13.36,1
31.439999999999998,132.76000000000022,11.92,1
31.439999999999998,132.87000000000023,10.48,1
31.439999999999998,132.98000000000025,10.0,1
31.439999999999998,133.09000000000026,10.0,1
31.439999999999998,133.20000000000027,19.48,1
31.529999999999998,131.66000000000008,28.34,1
31.529999999999998,131.7700000000001,26.52,1
31.529999999999998,131.8800000000001,24.71,1
31.529999999999998,131.99000000000012,22.89,1
31.529999999999998,132.10000000000014,21.08,1
31.529999999999998,132.21000000000015,19.55,1
31.529999999999998,132.32000000000016,18.11,1
31.529999999999998,132.43000000000018,16.67,1
31.529999999999998,132.5400000000002,15.23,1
31.529999999999998,132.6500000000002,13.8,1
31.529999999999998,132.76000000000022,12.36,1
31.529999999999998,132.87000000000023,10.92,1
31.529999999999998,132.98000000000025,10.0,1
31.529999999999998,133.09000000000026,10.0,1
31.529999999999998,133.20000000000027,21.99,1
31.529999999999998,133.3100000000003,14.46,1
31.619999999999997,131.66000000000008,28.44,1
31.619999999999997,131.7700000000001,26.63,1
31.619999999999997,131.8800000000001,24.82,1
31.619999999999997,131.99000000000012,23.0,1
31.619999999999997,132.10000000000014,21.42,1
31.619999999999997,132.21000000000015,19.99,1
31.619999999999997,132.32000000000016,18.55,1
31.619999999999997,132.43000000000018,17.11,1
31.619999999999997,132.5400000000002,15.67,1
31.619999999999997,132.6500000000002,14.23,1
31.619999999999997,132.76000000000022,12.79,1
31.619999999999997,132.87000000000023,11.35,1
31.619999999999997,132.98000000000025,10.0,1
31.619999999999997,133.09000000000026,10.0,1
31.619999999999997,133.20000000000027,24.33,1
31.619999999999997,133.3100000000003,22.98,1
31.619999999999997,133.4200000000003,19.97,1
31.619999999999997,133.5300000000003,16.97,1
31.709999999999997,131.66000000000008,28.55,1
31.709999999999997,131.7700000000001,26.74,1
31.709999999999997,131.8800000000001,24.92,1
31.709999999999997,131.99000000000012,23.3,1
31.709999999999997,132.10000000000014,21.86,1
31.709999999999997,132.21000000000015,20.42,1
31.709999999999997,132.32000000000016,18.98,1
31.709999999999997,132.43000000000018,17.54,1
31.709999999999997,132.5400000000002,16.11,1
31.709999999999997,132.6500000000002,14.67,1
31.709999999999997,132.76000000000022,13.23,1
31.709999999999997,132.87000000000023,11.79,1
31.709999999999997,132.98000000000025,10.35,1
31.709999999999997,133.09000000000026,10.0,1
31.709999999999997,133.20000000000027,25.45,1
31.709999999999997,133.3100000000003,27.39,1
31.709999999999997,133.4200000000003,29.33,1
31.709999999999997,133.5300000000003,28.03,1
31.709999999999997,133.64000000000033,25.03,1
31.709999999999997,133.75000000000034,22.02,1
31.799999999999997,131.7700000000001,26.85,1
31.799999999999997,131.8800000000001,25.17,1
31.799999999999997,131.99000000000012,23.73,1
31.799999999999997,132.10000000000014,22.3,1
31.799999999999997,132.21000000000015,20.86,1
31.799999999999997,132.32000000000016,19.42,1
31.799999999999997,132.43000000000018,17.98,1
31.799999999999997,132.5400000000002,16.54,1
31.799999999999997,132.6500000000002,15.1,1
31.799999999999997,132.76000000000022,13.66,1
31.799999999999997,132.87000000000023,12.23,1
31.799999999999997,132.98000000000025,10.79,1
31.799999999999997,133.09000000000026,11.54,1
31.799999999999997,133.20000000000027,18.29,1
31.799999999999997,133.3100000000003,20.23,1
31.799999999999997,133.4200000000003,22.18,1
31.799999999999997,133.5300000000003,24.12,1
31.799999999999997,133.64000000000033,26.06,1
31.799999999999997,133.75000000000034,28.01,1
31.799999999999997,133.86000000000035,29.95,1
31.799999999999997,133.97000000000037,27.07,1
31.889999999999997,131.7700000000001,27.05,1
31.889999999999997,131.8800000000001,25.61,1
31.889999999999997,131.99000000000012,24.17,1
31.889999999999997,132.10000000000014,22.73,1
31.889999999999997,132.21000000000015,21.29,1
31.889999999999997,132.32000000000016,19.85,1
31.889999999999997,132.43000000000018,18.42,1
31.889999999999997,132.5400000000002,16.98,1
31.889999999999997,132.6500000000002,15.53,1
31.889999999999997,132.76000000000022,14.03,1
31.889999999999997,132.87000000000023,12.52,1
31.889999999999997,132.98000000000025,11.02,1
31.889999999999997,133.09000000000026,10.0,1
31.889999999999997,133.20000000000027,10.92,1
31.889999999999997,133.3100000000003,12.84,1
31.889999999999997,133.4200000000003,14.75,1
31.889999999999997,133.5300000000003,16.66,1
31.889999999999997,133.64000000000033,18.57,1
31.889999999999997,133.75000000000034,20.48,1
31.889999999999997,133.86000000000035,22.4,1
31.889999999999997,133.97000000000037,24.31,1
31.889999999999997,134.08000000000038,26.22,1
31.979999999999997,131.7700000000001,27.23,1
31.979999999999997,131.8800000000001,24.96,1
31.979999999999997,131.99000000000012,23.45,1
31.979999999999997,132.10000000000014,21.95,1
31.979999999999997,132.21000000000015,20.45,1
31.979999999999997,132.32000000000016,18.94,1
31.979999999999997,132.43000000000018,17.44,1
31.979999999999997,132.5400000000002,15.94,1
31.979999999999997,132.6500000000002,14.43,1
31.979999999999997,132.76000000000022,12.93,1
31.979999999999997,132.87000000000023,11.43,1
31.979999999999997,132.98000000000025,10.0,1
31.979999999999997,133.09000000000026,10.0,1
31.979999999999997,133.20000000000027,10.0,1
31.979999999999997,133.3100000000003,10.0,1
31.979999999999997,133.4200000000003,10.0,1
31.979999999999997,133.5300000000003,10.0,1
31.979999999999997,133.64000000000033,10.35,1
31.979999999999997,133.75000000000034,12.26,1
31.979999999999997,133.86000000000035,14.18,1
31.979999999999997,133.97000000000037,16.09,1
31.979999999999997,134.08000000000038,18.0,1
31.979999999999997,134.1900000000004,19.91,1
32.06999999999999,131.8800000000001,25.71,1
32.06999999999999,131.99000000000012,23.42,1
32.06999999999999,132.10000000000014,21.13,1
32.06999999999999,132.21000000000015,19.35,1
32.06999999999999,132.32000000000016,17.85,1
32.06999999999999,132.43000000000018,16.34,1
32.06999999999999,132.5400000000002,14.84,1
32.06999999999999,132.6500000000002,13.34,1
32.06999999999999,132.76000000000022,11.84,1
32.06999999999999,132.87000000000023,10.33,1
32.06999999999999,132.98000000000025,10.0,1
32.06999999999999,133.09000000000026,10.0,1
32.06999999999999,133.20000000000027,10.0,1
32.06999999999999,133.3100000000003,10.0,1
32.06999999999999,133.4200000000003,10.0,1
32.06999999999999,133.5300000000003,10.0,1
32.06999999999999,133.64000000000033,10.0,1
32.06999999999999,133.75000000000034,10.0,1
32.06999999999999,133.86000000000035,10.0,1
32.06999999999999,133.97000000000037,10.0,1
32.06999999999999,134.08000000000038,10.0,1
32.06999999999999,134.1900000000004,11.69,1
32.16,131.8800000000001,26.49,1
32.16,131.99000000000012,24.2,1
32.16,132.10000000000014,21.91,1
32.16,132.21000000000015,19.62,1
32.16,132.32000000000016,17.33,1
32.16,132.43000000000018,15.25,1
32.16,132.5400000000002,13.75,1
32.16,132.6500000000002,12.24,1
32.16,132.76000000000022,10.74,1
32.16,132.87000000000023,10.0,1
32.16,132.98000000000025,10.0,1
32.16,133.09000000000026,10.0,1
32.16,133.20000000000027,10.0,1
32.16,133.3100000000003,10.0,1
32.16,133.4200000000003,10.0,1
32.16,133.5300000000003,10.0,1
32.16,133.64000000000033,10.0,1
32.16,133.75000000000034,10.0,1
32.16,133.86000000000035,10.0,1
32.16,133.97000000000037,10.09,1
32.16,134.08000000000038,10.21,1
32.16,134.1900000000004,10.34,1
32.16,134.3000000000004,10.46,1
32.16,134.41000000000042,10.03,1
32.25,131.99000000000012,24.97,1
